Original,Translation
buli mwiiko kwa khataru aana silala khwikhumi khukhwama mu sibala nisio wele amuelesia,kila mwaka wa tatu alipeana kimoja kwa kumi kutika kwa nchi ambayo mungu alimpatuia
nio amuelesia enywe mala ache nabio buli niio bamenya babe ne bibiindu bioosi abuundu aaroborwa e khusaaya,ndipo akampatia nyinyi kisha akaenda navyo kila walipoishi wawe na vitu vyote mahali palipoteuliwa kuombea
nga ne omala omuboolele oli ese luno fukiilila khukhola lino,ukimaliza umwambie kuwa mimi leo nakubali kufanya hili
boolela wele omunyali owa bioosi ebweeni wewe,ambia mungu mweza wa vyote mbwele zake
narusiisie sitonyi ndi nengile mu sibala nisio sitakatifu khukhwama munju mwase,nimetoa kipande kutoka kwa nuymba yangu ndipo niingie kwa nchi ambayo ni takatifu
asuubisia bakuuka befwe ali akhakhuelesie efwe balawi baakwa bafuubi nende banamulekhwa,akawapa imani mababu wetu kuwa atatupatia sisi walawi walio yatima na wajane
liikhebulila,kumbukumbu
khu ndaalo eye khunyoa eye kumwesi kwe khumi na mulala kwe kumwiiko kukhola kamakhumi kane amukhole mutasiikhe mube chielefu khukhilakhoo mala amubiite chikhabi khukhwama nga ne amulaka,kwa siku ya kwanza ya mwezi wa kumi na moja kwa mwaka wa arobaini amfanye muongezeke muwe maelfu kushinda kisha awape baraka jinsi alivyoahidi
ese sengene senyala busiro bwenye butinyu ne bulomani tawe nga baisiraeli ne barura mu misiri musa aboolela babaandu kamalaka koosi,mimi pekee siwezi uzito wenu taabu na ugomvi kama waisraeli wakiondoka misri musa akawaambia watu sheria zote
robora babaandu bakesi wele omunyali owa bioosi amuelesia be limanya lundi babakholakho kimilimo kino khubaboolela,teua watu werevu mungu mweza wa vyote akampa wenye busara tena waliowahi kufanya kazi kuwajulisha
lino liekholekha enyuma khukhwama buli mu kholo wa wele omunyali owa bioosi khuula mala ese ndabakhola babe babemeelesi omwami sihoni owe baamori owamiia benywe,hili lilifanyika baaada ya kutoka kwa kila ukoo wa mungu mweza wa vyote kushinda kisha mimi nitawafanya wawe wasimamizi mfalme sihoni wa waamori mtawala wenu
ne enywe mwafukiilila muli nga lukoba lwa heshiboni niluo naloma luaba lulayi,na nyinyi mkulikubali kuwa kama mji wa heshiboni ambao nilisema ulikuwa mzuri
nio omwami owe bashani owamiia mu ngoba cha asitaroti ne etrai ese nabukula babaandu bakesi lundi,ndipo mfalme wa bashani aliyetawala mji wa astaroti na etrai mimi nikachukua watu werevu tena
musa arakikha khubakholela kimilimo bamanya nibo enywe khwinooselia babaandu kamalaka kano mwarobora khukhwama mu kholo chenywe ne bolile mu maloba ka moabu ebukwe mala ese nabara mu bwimeelesi bwa luluuchi lwa yoritani,musa akaanza kuwafanyia kazi wakajua ambao nyinyi kuelezea watu sheria hii mkateua kutoka kwa ukoo zenu wakifika kwa ardhi ya moabu mashariki kisha mimi nikawaweka kwa usimamizi wa mto yordani
balala baba babemeelesi musa aloma ali,wengine walikuwa wasimamizi musa akasema kuwa
nga ne mwabeele be babaandu eelefu emia ndala kamakhumi karano ne babaandu babaandi be a sikulu sia sinai wele omunyali owa babaandu wele wefwe akhuboolela efwe mwamenyile siise sileeyi a sikulu,jinsi mlivyokuwa watu elfu mia moja hamsini na watu wengine wa kwa mlima wa sinai mungu mweza wa vyotemungu wetu alituambia kuwa mmeishi muda mrefu kwa mlima
nono mwanyalile murio kobolayo,sasa mmetosha hivyo rudi huko
ne siise esio naboola muchiililile ne lukeendo,na muda huo nikasema muendelee na safari
cha mu sibala la bakhalaki benywe ndi sie bikulu bie baamori nende be bibala rekeeresia kamalilo ke babaandu mala biili siimbi bioosi bali mu litooma lia yortani mukhole bukhalaki bubwenyekha,za kwa nchi ya waamuzi wenu kuwa ya vilima vya waamori na wa nchi sikiliza vilio vya watu ambavyo viko karibu vyote kuwa kwa bonde la yordani mfanye uamuzi unaostahili
cha mwole mu sibala sie bikulu akari we baisiraeli babili namwe akari ne sie mumaayo mwole mu omuuisiraeli,nenda mfike kwa nchi za vilima katikati wa waisraeli wawili ama katikati na ya kwa bonde mfike kwa muisraeli
khola che bunafubo nende sia nyanja eya mediterenia kakenyekha mu bukhalaki bwenywe,fanya za kaskazini na ya bahari ya mediterenia yaliyostahili kwa uamuzi wenu
cha mu sibala sia kanaani khalakila be asi nende be bunyali nga engelekha we bikulu bia lebanoni khu kenyekha,nenda kwa nchi ya kanaani kuamulia wa chini na wa uwezo kama ngambo wa vilima vya lebanoni kwa yaliyostahili
mukharia omundu yesi yesi khwola khu luuchi luboofu lwa efurati,msiogope mtu yeyote kufika kwa mto mkubwa wa efurati
tawe sikila bukhalaki nibwo mukhola buli bwa wele,hapana sababu uamuzi ambao mnafanya ni wa mungu
lola namuele enywe kamaloba kano,tazama nimempa nyinyi ardhi hii
reera kimisaango kimiandalafu khwise yingilamo mala mubukule kamaloba nese endakhola niko wele omunyali owa bioosi omunyali echuba,leta tambiko ngumu kwangu ingia ndani kisha mchukue ardhi nami nitafanya ambayo mungu mweza wa vyote aliapa
siise esio ese namulaka koosi niko khua bakuuka benywe aburahamu isaaka ne yakobo mukhoyela khukhola,muda huo mimi nilimuagiza yote ambayo tunawapa mababu zenu abarahamuisaaka na yakobo mnastahili kufanya
alaka khubaelesia nibo ne lisaaye liabwe enyuma wabwe,aliagiza kuwapa ambao na uzao wao baada yao
bayooti barumwa khukhwama kadeshi bareba musa arobora bakhalaki,wapepelezi walitumwa kutoka kadeshi wakauliza musa ateue waamuzi
khwakhola niko wele omunyali owa musa aboolela babaandu ali siise bioosi wele wefwe akhulaka,tukafanya ambayo mweza wa musa aliwaambia watu kuwa muda wote mungu wetu alituahidi
khwarura esio namuboolela ndi kimilimo kie khu sikulusia sinai kili kimikali likali mala khwabira mu sichiimi sibalayi esio siosi murangirira enywe lundi siriisia,tukatua hiyo nikamwambia kuwa kazi ya kwa mlima wa sinai ni nyingi sana kisha tukapita kwa pori pana hiyo yote tena inatisha nikiwatangulia nyinyi
ese senyala nakikhola sengene khwabirira mu sibala sie bikulu sie baamori,mimi siwezi nikafanya pekee tukapitia kwa nchi vilima vya waamori
nga ne khwola kadeshibarinea wenywe amukholile muli bakali nga namuboolela enywe ndi mwolile mu chingenieesi,wakati tulifika kadeshibarinea wenu awafanyie kuwa wengi jinsi nilivyowaambia nyinyi kuwammefika kwa nyota
lekha wele omunyali owa bioosi wele owe bakuuka benywe wele wefwe alikho akhuelesia efwe sibala sie bikulu sie baamori,wacha mungu mweza wa vyote mungu wa mababu zenu mungu wetu anatupa sisi nchi ya vilima vya waamori
lola wele omunyali owa bioosi,tazama mungu mweza wa vyote
ne mwabone mu sichiimi wele wefwe areere sibala nga ne amureerire mu muleembe khu sino ebweeni wenywe,na mmeona kwa pori mungu wetu ameweka dunia kama alivyowatoa kwa amani kwa hii mbele yenu
cha musibukule sibe sisienywe,nenda muichukue iwe yenu
aakholile ario khu lukeendo lwenye lwoosi khukhwola abuundu ne amulaka bakuuka benywe bakharia namwe mwarangararwa,amefanya hivyo kwa safari yenu yote kufika mahali na akawahidi mababu zenu wasiogope ama kuchokozwa
ne kakhaba kario se mweyikina tawe,hata hivyo hamkuamini
wele omunyali owa bioosi wele wenywe nenywe mweesi mwanjichakho tawe,mungu mweza wa vyote mungu wenu nanyi pia hamkunijia
wele omunyali owa bioosi mala mwaloma muli lekha khurume buli lwosi amurangiriranga ebweeni babaandu ebweeni wefwe bache bayoote khumuyiimila abuundu niio mukhola sibala nio bakhuboolele engila endayi ekambi ne khumwekesia enywe engila,mungu mweza wa vyote kisha mkasema kuwa wacha tutume kila mara akawa akiwatangulia mbele watu mbele yetu waende wapeleleze kwa barabara mahali ambapo mnafanya nchi ambayo walituambia njia nzuri kambi na kuonyesha nyinyi njia
khukhila choosi niyo khubirirakho ne arangiranga ebweeni wenywe mu silo chingoba nicho khukhoyeele khuche mu mulilo ne kumuusi amurangirira mu lileesi,kushinda yote ambayo tunapitia na akitangulia mbele zenu usiku miji ambazo tunastahili kuenda kwa moto na mchana akiwatangulia kwa mawingu
enganakani eyo yaba endayi,wazo hilo likawa nzuri
nono narobora babaandu ekhumi na babili wele omunyali owa bioosi aelesia mulala khukhwama mu buli kholo,sasa nikawateua watu kumi na wawili mungu mweza wa vyote akampa mmoja kutoka kwa kila ukoo
isiraeli siiukuumo bacha mu sibala sie bikulu khukhwola khu litooma lia eshikoli mala basiyoota,israeli imehukumiwa wakaenda kwa nchi ya vilima kufika kwa bonde la eshikoli kisha wakaipeleleza
wele omunyali owa bioosi aulila khukobola bakhureerera efwe mala khukhwelungunya khwenywe mala khu matuunda niko banyoolayo,mungu mweza wa vyote alisikia kurudi wakatuletea sisi kisha tukalalamika tunataka matunda ambayo watapata huko
aambwa lirima,akashikwa hasira
ne echuba ne aloma bakhuboolela bali kamaloba niko wele ali,na akaapa akisema walituambia kuwa ardhi ambayo mungu yuko
se aliio omundu khu baandu be selukho emayaanu yino okhabone akhuelesia efwe kali kamalayi,hakuna mtu kwa watu wa uzao usioadilifu huu atakayeona sisi kuwa wazuri
kamaloba kamalayi niko nasuubisia bakuka benywe se kakhabe kario tawe,ardhi nzuri ambayo nilihakikishia mababu zenu haitakuwa hivyo
kalebu okhwa yefune,kalebu mwana wa jephune
mwaba ne sileka khu malaka yengene niye olikabona,mlikuwa na kiburi kwa sheria pekee ambayo utayaona
ne ndielesia lisaaye liewe sibala sino nisio aalambula,na nitawapatia uzao wake nchi hii ambayo alizuru
ndikhola ndio,nitafanya hivyo
mwaloma muli wele anondile ne kumwoyo kwoosi,mkasema kuwa mungu amenifuata na moyo wote
wele omunyali owa bioosi akhubiila efwe,mungu mweza wa vyote alituchukia sisi
omunyali owa bioosi ambambila sesi lirima liliakila akhurusia mu sibala siewe,mweza wa vyote alinishikia mimi pia hasira ikiyosababisha akatutoa kwa nchi yake
aloma ali akhaba misiri akhure mu bunyali bwe baamori ewe wesi musa se olingila mu sibala esio,akasema kuwa hata misri akuweke kwe uwezo wa waamori wewe pia musa hutaingia kwa nchi hiyo
se khulikho khucha tawe,hatuendi
ne akhali yoshua okhwa nuni,isipokuwa yoshua mwana wa nuni
balebe befwe nibo khwaruma muyeeti wowo niye olingilamo,jamaa zetu ambao tulituma kwa msaada wako ndio watakaoingia
nono bakhukholile khwariire,sasa wamefanya tumeogopa
bakhuboolele bali muremo kumwoyo sikila alirangirira babaandu abo bali bakali lundi isiraeli khubukula sibala esio,wametuambia kuwa muwe na moyo sababu atatangulia watu hao walio wengi tena israeli kuchukua nchi hiyo
khutasa baleeyi khu khukhila efwe,kuongeza warefu kushinda sisi
chingoba chabwe che kamaasisicili chimbofu khwako babaana benywe basiili batoro nibo mwaloma muli balikwa mu mireko,miji zao za kuta ni kubwa kwa hayo watoto wenu wangali wachanga ambao mlisema kuwa wataingia kwa mitego
khutasa khwako bakhamanyile bubi ne bulayi tawe bali khuboone babaandu baboofu lundi be ngila mu sibala esio,kuongeza kwa hayowasiojua ubaya na uzuri kuwa tuliona watu wakubwa tena wakaingia kwa nchi hiyo
ndibaelesia kamaani mu sibala esio mala balisibukula sibe sisiabwe,nitawapatia nguvu kwa nchi hiyo kisha wataichukua iwe yao
nese namuboolela ndi mukharia nenywe kobolayo muche mu sichiimi babaandu abo tawe,nami nikamwambia kuwa msiogope nanyi rudini muende kwa msitu watu hao hapana
wele omunyali owa bioosi alamura lubeka lwe sia nyanja eya shamu,mungu mweza wa vyote atawaweka upande wa bahari ya shamu
mwangobosia muli khwakholile ngrira mala kalaba bulayi bwene omwene alamupanila,mkanijibu kuwa tumefanya jinsi yatakavyokuwa vizuri mwenyewe atampigania
bubwoni khu wele omunyali owa bioo nga akhola e misiri,dhambi kwa mungu mweza wa vyote jinsi alivyofanya misri
khulacha mala khupane nga wele,tutaenda kisha tupigane kama mungu
liikhebulila,kumbukumbu
lilaka liowo,agizo lako
se nabeele omureengu namwe se nebiliile liosi liosi khu malaka kowo ndaalo niyo mwambukhilakho luluuchi lwa yoritani mala mwingile mu sibala,sijakuwa mwoga ama sijasahau chochote kwa maagizo yako siku hiyo ambayo mlivukia mto yordani kisha mkaingia kwa nchi
se naliile silala khwikhumi ne ndi mu masika namwe nabeele omunyaalu,sijakula kimoja kwa kumi nikiwa kwa matanga ama nimekuwa mchafu
mularaao kamabaale kamabalaayi mala mukaakhe luloongo,mtaweka mawe mapana kisha myapake mchanga
mukhaandikekho nariire lilaka liowo wele omunyali owa kamalaka kano koosi,mtaandika hapo nimetii amri yako mungu mweza wa sheria hizi zote
mala nakhola khuloondekhana nende niko ewe wandaka wele we bakuuka benywe koosi alikho amuelesia enywe sibala,kisha nikafanya kufuatana na yale wewe uliniagiza mungu wa mababu zenu yote yuko anawapa nyinyi nchi
ne oli abuundu wowo atakatifu kamabeele ne bubuukhi biseleetikha mwikulu lola asi mala obiite babaandu nga ne aamusuubisia enywe,na ukiwa mahali pako patakatifu maziwa na asali inayodondoka mbungunitazama chini kisha ubariki watu jinsi alivyowapa matumaini nyinyi
biita chikhabi akhaba mumalile khukhwambukha luluuchi lwa yortani sibala nisio kamabaale ne bubuukhi biseleetekhanga nisio wakhuelesie efwe khu sikulu sia ebali,peana baraka hata kama mmemaliza kuvuka mto wa yordani nchi zmbayo maziwa na asali inayodondoka ambayo ulitupatia sisi kwa mlima wa ebali
ebweeneyo mukhombakheyo a lutare eye kamabaale khu wele omunyali owa bioosi,huko mtajenga madhabahu ya mawe kwa mungu mweza wa vyote
endaalo yino wele omunyali owa bioosi alikho amulaka,siku hii mungu mweza wa vyote yuko anawatuma
alutare yosi yosi niyo muliombakha murie kamalaka koosi,madhabahu yoyote ambayo mtajenga muogope sheria zote
khwako ba barekerefu khu wele omunyali owa bioosi ne kumwoyo kwenywe kwe ekhoya ne liiba lienywe,kwa hayo kuwa wasikivu kwa mungu mweza wa vyote na moyo wenya furaha na nia yenu
endaalo yino kakhabeechwa tawe,siku hii hayajakujiwa
khubwenokho wafukiiliile oli olamuria ne khuloonda kamalaka kewe wele wenywe,hapo umekubali kuwa utamtii na kufuata maagizo yake mungu wenu
lundi mukhaanilekho bianwa bie khukhwosia khu wele ne khukhola koosi niko alaka,tena mtapeana sadaka za kuteketeza kwa mungu na kufanya yote ambayo aliagiza
chimbosio che kumuleembe mala endaalo yino wele omunyali owa bioosi amufukiilile enywe mga babaana bawele,maneno ya amani kisha siku hii mungu mweza wa vyote amewakubali nyinyi kama watoto wa mungu
ebweeneyo mukhekhoye ebweeni wa wele baandu bewe nga ne aamusuubisia enywe,huko mtafurahia mbele za mungu watu wake jhinsi alivyowapa matumaini nyinyi
khu mabaale kakaakhwakho luloongo aandikakho kamalaka koosi koosi mala aamulaka murie kamalaka kewe,kwa mawe yaliyopakwa mchanga akaandika hapo sheria zote zote kisha akamwagiza mtii sheria zake
alamukhola enywe mube bakali lukali,atawafanya nyinyi muwe wengi sana
khukhila ekholo ekiindi yosi yosi niyo musa ne basaayi balawi baboolela aabuumba,kushinda ukoo mwingine yoyote ambayo musa na waombezi walawi waliambia akaumba
alakhola ario khulwe efuma babaandu ba isiraeli boosi bali ne lukoosi ne luyali khu lisina liewe,atafanya hivyo kwa sifa watu wa israeli wote walio na upendo na utukufu kwa jina lake
sila mala mundekeeresie,nyamaza kisha msikilize
endaalo yino mulaba ekholo endakatifu khu wele enywe mwabeele babaandu ba wele,siku hii mtakuwa ukoo mtakatifu kwa mungu wenu mmekuwa watu wa mungu
khwako khe mumurie mala muliinde kamalaka kewe koosi niko ese ndikho emuelesia enywe endaalo yino,kwa hayo mmtii kisha mlinde sheria zake yote ambayo mimi ninawapa nyinyi siku ya leo
kakaandikwa khu mabaale nono musa alala ne babemeelesi ba isiraeli balaka babaandu,yaliyoandikwa kwa mawe sasa musa pamoja na wasimamizi wa israeli waliahidi watu
endaalo eyo engene musa aboole bali ria kamalaka koosi niko ese ndibawa babaandu ba isiraeli,siku hiyo pekee musa aseme kuwa ogopa sheria zote ambazo mimi nitawapa watu wa israeli
enywe ne kho muelesia enywe endaalo yino,nyinyi ninawapa nyinyi siku hii
khu mwambuukhe luluuchi lwa yoritanicholo chino chileema khu sikulu,vukeni mto wa yordani mbari hizi zitasimama kwa mlima
omundu yesi yesi okona ne waandaye omukhaana alaamwe,mtu yeyote anayelala na dadake msichana alaaniwe
kerisimu khulwe khumubiita chikhabi,kerisimu kwa kumpa baraka
wandaaye omukhaana abeele chikholo cha simioni lawi yuda isa omwana owa raraawe namwe yosefu ne benjamini,dadake msichana alikuwa koo za simioni lawi yuda  isa mtoto wa babake ama yosefu na benjamini
ne chikholo eowa maawe alaamwe,na ukoo za kwa mamake zilaaniwe
chino chileema khu sikulu sia ebali ne babaandu boosi balikobosiaia we khulaama rubeni kati asheri bali kabe kario,hizi ziyasimama kwa mlima wa ebali na kulaani rubeni kati asheri kuwa yawe hivyo
sebuluni dani ne nafutali balawi,zebuloni dan na nafutali walawi
omundu yesi yesi okona ne masalaawe alaamwe,mtu yeyote anayelala na mkwe wake alaaniwe
kumumilo kuuliilikhana,sauti inayosikika
ne babaandu boosi balikobosi bali omundu yesi yesi okhola sifwaani bali siibia mala asisimikhe alaamwe,na watu watajibu kuwa mtu yeyote akifanya sanamu kuwa chuma kisha aisimamishe alaaniwe
namwe sie omundu yesi yesi owira owasie mu kumurongooro namwe sie bwikisi alaamwe,ama mtu yeyote anayeuwa mwenzake kwa mti ama kwa kujificha alaaniwe
ne babaandu boosi balikobosia bali kabe kario,na watu wote watajibu kuwa yawe hivyo
omundu yesi yesi ofukiilila asoya bali kabe kario,mtu yeyote anayekubali hongo kuwa yawe hivyo
khukhwira mundu okhali ne omundu yesi yesi okharia maawe tawe alaamwe,kuuwa mtu asiye na mtu yeyote asiyemtii mamake alaaniwe
namwe raraawe tawe alaamwe,ama babake asilaaniwe
ne babaandu boosi balikobosia bali kabe kario,na watu wote watajibu kuwa yawe hivyo
omundu yesi yesi okharia kamalaka kano ne omundu yesi yesi osendia lulwakha lwo owasie alaamwe,mtu yeyote asiyeogopa maagizo haya na mtu yeyote anayesongeza mpaka wa mwenzake alaaniwe
kaloma tawe alaamwe,hakusema alaaniwe
ne babaandu boosi balikobosia,na watu watarejeshwa
ne babaandu boosi balikobosia bali kabe kario,na watu wote watajibu kuwa yawe hivyo
omundu yesi yesi otiimia omubofu khu lukeendo lwewe alaamwe,mtu yeyote anayempoteza kipofu kwa safari yake alaaniwe
chikhabi khulwe baria wele omunyali owa bioosi,baraka kwa wanaomtii mungu mweza wa vyote
mwaaba ne muria wele omundu yesi yesi otiimia bungali wobwo omukwa omufuubi ne namulekhwa alaamwe,mlikuwa mkimtii mungu  mtu yeyote anayepoteza ukweli wa huyu aliye yatima na mjane alaaniwe
kewe koosi niko ese ndikho muelesia ne babaandu boosi balikobosia enywe endaalo yino,yake yote ambayo mimi niko nawapa na watu wote watarejesha nyinyi siku hii
alamukhola mube ne bunyali khu kholo chichiindi choosi,atawafanya muwe na uwezo kwa ukoo zingine zote
omundu yesi yesi okona nende mkha rarawe alaamwe,mtu yeyote akilala na mke wa babake alaaniwe
ria wele omunyali owa bioosi wele wenywe mala chikhabi chino choosi chilaba chichenywe,ogopa mungu mweza wa vyote mungu wenu kisha baraka hizi zitakuwa zenu
wele omunyali owa bioosi alabiita babaandu boosi chikhabi chingoba chenywe ne kimikuunda,mungu mweza wa vyote atawapa watu wote baraka miji zenu na mashamba
omundu yesi yesi okona ne esaangi alaamwe,mtu yeyote anayelala na mnyama alaaniwe
mbabiita enywe chikhabi musaale babaana bakali munyoole biakhulia bikali,nawabariki nyinyi mzae watoto wengi mpate vyakula vingi
chikhaafu chingali ne bibiaayo bikali,ngombe wengi na mifugo wengi
lisina namwe khunyoola efuma ne luyali,jina ama kupata sifa na utukufu
aambiisie raraawe chisoni namwe sikila asiimbuule mukha raraawe,alimpa babake aibu ama kwa sababu alimfunua mke wa babake
liikhebulila,kumbukumbu
wele omunyali owa bioosi alabiita chikhabi mu bibiaalwa bienywe namwe mulekhe khuuba barekerefu nende khuria kamalaka koosi,mungu mweza wa vyote atapeana baraka kwa mimea zenu ama muache kuwa wasikifu na kutii sheria zote
nibio ndikho emuelesia enywe endaalo yino,ambavyo ninawapa nawapa nyinyi siku hii
alamubiita enywe chikhabi mu buli bino bioosi bilamwichakho,atawapa nyinyi baraka kwa kila hivi vyote vatavyowakujia
siindu nisio mukhola,kitu ambacho mnafanya
wele omunyali owa bioosi alalaama,mungu mweza wa vyote atalaani
basiku benywe ne bamwibwaakala mu chingoba chenywe ne kimikuunda kienywe,adui zenu watawavamia kwa miji zenu na mashamba yenu
akhabakhole bakhilwe,atawafanya washindwe
ne becha khumwibwaakala enywe balechela khu ngila ndala ne kakhali bakhelukhile khu ngila saba,wakija kuwavamia nyinyi watakujia kwa njia moja isipokuwa watatorokea kwa njia saba
wele omunyali owa bioosi alalaama bibiaalila bienywe nende biakhulia nibio mwamiamo,mungu mweza wa vyote atalaani mimea yenu na vyakula ambavyo mlitoa humo
wele omunyali owa bioosi akhabiite chikhabi lisaaye lienywe lilalaamwa alala ne khubiita bibiaaki bienywe ne bibiaamo bienywe ne chikhaafu ne kimilimo kienywe kioosi,mungu mweza wa vyote atapatia baraka uzao wenu pamoja na kubariki ghala zenu na mazao yenu na ngombe na kazi yenu yote
alareera kamakheese,ataleta kondoo
mubiita enywe chikhabi mu sibala nisio alikho amuelesia,mpatie nyinyi baraka kwa nchi ambayo ako anawapatia
mulalaamwa mu buli siindu nisio alikho amuelesia khuuba sisienywe,mtalaaniwa kwa kila kitu ambacho ako anawapatia kuwa chenu
mukhola net gwele omunyali owa bioosi akhamubolele,mfanye jinsi mungu mweza wa vyote atakavyowaambia
mwaaba ne mukhola kamabi ne akhole enywe mube ekholo endakatifu nga wele ne aamusuubisia enywe,mkawa mkifanya mabaya na afanye nyinyi muwe ukoo mtakatifu jinsi mungu alivyowapa tumaini nyinyi
wele omunyali owa bioosi alamureerera ario mwaba ne muria kamalaka kewe ne bilaamo likoyaana ne changalaalo buli khuloonda koosi niko amulaka,mungu mweza wa vyote atawaleta hivyo mkawa wa kutii sheria zake na laana kuchanganyikiwa na kuaibika kila kufuata yote ambayo aliwaagiza
ne siindu nisio mukhola khukhwola nga kholo choosi che sibala chilabona chili ne mulabunisibwa khangu,na kitu ambacho mnafanya kufika jinsi mbari zote za nchi zitaona kuwa mtatamanishwa haraka
alareerao enywe muli babaandu ba wele omunyali lufu khukhwola nga lulamumala enywe,atawaletea nyinyi kila watu wa mungu kifo kufikia vile kitakavyowamaliza nyinyi
chilamuria enywe mweesi se akhabeo okharame mu sibala,zitawala nyinyi wote hakuna atakayesalia kwa nchi
wele omunyali owa bioosi alamuelesia musibala nimwo muli siimbi khucha,mungu mweza wa vyote atawapatia kwa nchi ambayo mko karibu kuenda
wele alamuelesia enywe babaana bakali chikhaafu chingali ne bibiaamo bikali lukali mu lwe khuambisiana kamabiimba ne sibala nisio aasuubisia bakuuka benywe,mungu atawapatia nyinyi watoto wengi ngombe wengi na mazao mengi kwa kuambukiza jipu na nchi ambayo aliwapa tumaini mababu zenu
siimiyu ne khuungu akhamuelesie enywe,kiangazi na upepo atawapatia nyinyi
alareera khwoomia yonake bibiaayo bienywe,ataleta kukausha iharibu malisho yenu
efula mu siise sisienyekha khukhwama kamaraba kano kalaba ne nanywe mu ngaaki mala abiite chikhabi kimilimo nabwila mufwa,mvua kwa wakati unaotakikana kutoka majanga haya yatakuwa na nyinyi kwa juu kisha awape baraka kazi na sababu mnafariki
efula se likwa tawe kilimo kienywe kioosi kikheme,mvua haitawahi nyesha kazi zenu zote zitasimama
enywe mulekopia ne kamaloba kenywe kaloma kaandala nga sichuuma,nyinyi mtakopesha na udongo wenu utakauka ishikane kama chuma
mu bweyaangu bwe mulekopa khukhwama khu kholo yosi yosi tawe,kwa nafasi hamtakopa kutoka kwa ukoo wowote
alareera lutamuusi lukali ne khuungu engali elimo kumuyekhe alamukhola enywe mube nabwila mulabuna nga babemeelesi na se muliba baloondi,ataleta vumbi nyingi na upepo mwingi ulio na mchanga atawafanya nyinyi muwe bure mtaangamia kama wasimamizi na hamtakuwa wafuasi
wele omunyali owa bioosi alakhola buli lwosi mulaba angaaki we chikholo chichiindi,mungu mweza wa vyote atafanya kila mara mtakuwa juu ya mbari zingine
kaliba kario mwabachila khu ngila ndala ne mulikho mucha,yatakuwa hivyo mkapitiana kwa njia moja mkiwa mnaenda
barekerefu mu khuria kamalaka niko ndikho muelesia enywe endaalo yino,wasikivu kwa kutii sheria ambayo ninawapa nyinyi siku hii
khu ngila saba mala chikholo che khu sibala chikhareenge,kwa njia saba kisha mbari za kwa nchi zitatetemeka
sikila ne mukhalekha kamalaka niko ndikho muelesia endaalo yino mala mwasaaya kamwikholekha khwinywe,sababu mkiacha sheria ambazo niko nawapa siku hii kisha mkaabudu yatafanyika kwenu
ne mufwa kimibili ne khukholela bawele babaandi tawe,na mkifa miili na kutumikia miungu wengine hapana
kimiili kienywe kikhabe siakhulia sie chinyuni ne chisaangi,miili zenu zitakuwa chakula cha ndege na wanyama
ne se alabao omundu olachioona tawe,na hakuna mtu atayewafukuza
ne kakhali mwaba be sileka wele omunyali owa bioosi alareera kamabiimba khwinywe,ingawa mkiwa wa kiburi mungu mweza wa vyote ataleta majibu kwenu
alakhola nga ne aakhola khu bamisiri,atafanya jinsi alivyofanyia misri
alakhola kimibili kienywe kibe ne kamaboondo,atafanya miili yenu iwe na vidonda
kienywe kilechulakho chingooso chiyakalaka ne se mulaona tawe,miili yenu itajaa vipele vinavyowashawasha na hamtafukuza
babaandu bakhesiindukhe sikila sisiikholeekhe khwinywe,watu watashtuka sababu ya kilichofanyika kwenu
mukhabe mukoyaane mu bwongo lundi be khuchekheelelwa,mtakuwa mmechanganyikiwa kwa akili tena wa kuchekelewa
mulamiicha bumiicho bukali ne kumuusi mulakesa busa bikeekhe bibiaamo bienywe sikila chisike chilalia mala mulatiimatiima busa,mtapanda mbegu nyingi na mchana mtavuna tu vichache vitakvyotoka humo vyenu sababu nzige watakula kisha mtapoteapoteatu
mulabiaala,mtapanda
anyoola chingila tawe,hatapata njia
mulamiicha kimisabibu mu mikuunda kienywe mala khunuulwa buli lwosi se alabao mukiliinde,mtapanda misabibu kwa mashamba yenu kisha kunyanganywa kila mara haitakuwepo muilinde
ne kakhali se mulanywa endali namwe mulie kamatuunda,isipokuwa hamtakunywa divai ama mle matunda
kimisabibu tawe sikila biisa bilalia chi mwinywe omundu alikhwa omukhasi,misabibu hapana sababu wakati mwingine kati yenu mtu ataposa mke
mukhabiaale kimiseituni buli abuundu mu sibala sienywe,mtapanda mizeituni kila mahali kwa nvhi yenu
oloba mukhanyoolekho kamafura ke enju ne se olamenyamo tawe,utakuwa hamjapata mafuta ya nyumba hutaishi humo
kimiseituni tawe sikila chisili chiseituni ne kimisabibu mwiruuti chilakhukhumukha asi ne kamatuunda ke kimisabibu tawe,mizeituni hapana sababu yangali zeituni na misabibu kwa bustani yataanguka chini na matunda ya misabibu hapana
mulasaala babaana basoleeli ne bakhaana mulabatibia sikila balayilwa engo wowo,mtazaa watoto wavulana na wasichana mtawapotezea sababu watapelekwa nyumbani kwako
chikhaafu chowo chilakhoonyelwa ne se olaliaakho enyama nga mu mbaambe eye liie,ngombe wako watauawa na hutakula nyama kama kwa mateka ya vita
kimirongooro alimbisha yoshoa tawe chipunda chowo chilalia kienywe kioosi ne bibiaamo bilaliibwa,miti hatampitisha yoshua punda wako watakula yenu yote na vilivyomo vitaliwa
bindu biosi bibukulwe ne ololeleele ne ne chisike,kila kitu kimichukuliwa ukiangalia na nzige
se balakhukoboselia tawe,hawatakurejeshea
kamakheese kowo kalaelisibwa khu basiku bowo,kondoo wako watapeanwa kwa maadui wako
